word,example,translation,example_translation,status,correct_count,incorrect_count,date_added,last_studied,user_email,user_name
feststehen,"Es steht fest, dass wir uns am Freitag treffen.","Быть решённым, быть установленным","Решено, что мы встретимся в пятницу.",studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
besitzen,Unsere Nachbarn besitzen einen großen Hund.,"Владеть, обладать",Наши соседи владеют большой собакой.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
auffallen,"Mir ist aufgefallen, dass er heute sehr müde aussieht.","Замечать, бросаться в глаза","Я заметил, что сегодня он выглядит очень уставшим.",studying,1,0,2025-09-09T07:11:10.333Z,2025-09-09T15:39:12.152Z,root,Root User
beitragen,Dieses Buch trägt zur Forschung bei.,"Вносить вклад, способствовать",Эта книга вносит вклад в исследование.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
eintragen,Du musst dich in die Liste eintragen.,"Вносить, вписывать",Ты должен вписаться в список.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
entstehen,Wie ist dieses Problem entstanden?,"Возникать, появляться",Как возникла эта проблема?,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
erziehen,Man muss die Kinder zu Respekt erziehen.,Воспитывать,Нужно вос��итывать в детях уважение.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
einblenden,Der Nachrichtensprecher wird gleich eine Grafik einblenden.,"Вставлять (на экран), включать",Диктор новостей сейчас покажет график.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
einreiben,Reib die Salbe auf die betroffene Stelle ein.,Втирать,Вотри мазь в поражённое место.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
betreten,Der Hund darf das Haus nicht betreten.,"Входить, ступать",Собаке нельзя входить в дом.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
ausladen,"Kannst du mir helfen, die Einkäufe auszuladen?","Выгружать, разгружать",Ты можешь помочь мне разгрузить покупки?,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
festhalten,"Ich halte mich am Geländer fest, damit ich nicht falle.","Удерживать, держаться","Я держусь за перила, чтобы не упасть.",studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
beweisen,"Er hat bewiesen, dass er ein guter Koch ist.",Доказывать,"Он доказал, что он хороший повар.",studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
die Leistung,Wir sind mit der Leistung des Motors sehr zufrieden.,"Мощность, производительность",Мы очень довольны мощностью двигателя.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
sich verlaufen,Wir haben uns im Wald verlaufen.,Заблудиться,Мы заблудились в лесу.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
aufhalten,Ein Schneesturm hielt den Verkehr auf.,Задерживать,Снежная буря задержала движение.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
erfinden,Kinder erfinden gerne Geschichten.,Изобретать,Дети любят придумывать истории.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
ablaufen,Der Pass ist abgelaufen.,"Истекать (о сроке), протекать",Срок действия паспорта истёк.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
betreffen,Die neue Regelung betrifft alle Mitarbeiter.,"Касаться, относиться",Новое правило касается всех сотрудников.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
genießen,Ich sitze im Garten und genieße die Ruhe.,Наслаждаться,Я сижу в саду и наслаждаюсь тишиной.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
einstellen,Die Fabrik wird die Produktion einstellen.,"Прекращать, настраивать",Фабрика прекратит производство.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
anfangen,Der Film fängt in fünf Minuten an.,Начинать(ся),Фильм начинается через пять минут.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
ansprechen,Ich werde ihn morgen darauf ansprechen.,"Заговаривать, обращаться",Я поговорю с ним об этом завтра.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
besprechen,Wir müssen das Thema im Meeting besprechen.,Обсуждать,Мы должны обсудить эту тему на совещании.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
die Gefahren,Man muss sich vor den Gefahren des Internets schützen.,Опасности,Нужно защищаться от опасностей интернета.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
anhalten,"Die Regierung hat angehalten, sparsam mit Wasser umzugehen.","Призывать, останавливать(ся)",Правительство призвало экономно расходовать воду.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
aufschließen,Hast du den Schrank aufgeschlossen?,Открывать (ключом),Ты открыл шкаф?,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
aufschlagen,"Ich habe mein Knie aufgeschlagen, als ich gestürzt bin.","Открывать (книгу), расшибать","Я разбил колено, когда упал.",studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
aushalten,"Er musste aushalten, dass man über ihn lachte.","Выдерживать, терпеть","Ему пришлось терпеть, что над ним смеялись.",studying,1,0,2025-09-09T07:11:10.333Z,2025-09-09T07:14:26.954Z,root,Root User
brennen,Die Kerze brennt bis zum Ende.,Гореть,Свеча горит до конца.,review_7,0,0,2025-09-09T07:11:10.333Z,,root,Root User
begraben,Sie haben den Hund im Garten begraben.,"Закапывать, хоронить",Они похоронили собаку в саду.,studying,1,0,2025-09-09T07:11:10.333Z,2025-09-09T15:39:33.611Z,root,Root User
ausfallen,Der Zug ist wegen eines technischen Defekts ausgefallen.,"Отменяться, выпадать",Поезд был отменён из-за технич��ской неисправности.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
sich beziehen,Mein Brief bezieht sich auf unser letztes Gespräch.,"Относиться, ссылаться",Моё письмо относится к нашему последнему разговору.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
die Beziehung,Die Beziehung zwischen den Ländern hat sich verbessert.,"Отношение, связь",Отношения между странами улучшились.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
biegen,"Das Schild sagt, dass wir hier rechts biegen müssen.","Поворачивать, сгибать","Табличка гласит, что мы должны здесь повернуть направо.",studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
ansteigen,Die Temperatur wird morgen stark ansteigen.,"Повышаться, расти",Завтра температура сильно поднимется.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
erhalten,Er erhält ein hohes Gehalt für seine Arbeit.,Получать,Он получает высокую зарплату за свою работу.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
(sich) ergeben,Aus der Rechnung ergab sich ein Fehler.,"Вытекать, следовать (из чего-то)",Из счёта следовала ошибка.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
begreifen,"Er konnte nicht begreifen, wie die Magie funktionierte.","Понимать, осознавать","Он не мог понять, как работает магия.",studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
begreifen,"Es ist schwer, dieses Konzept zu begreifen.",Понимать,Это понятие сложно понять.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
eintreffen,Die Gäste werden gegen 18 Uhr eintreffen.,Прибывать,Гости прибудут около 18:00.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
sich ausdenken,Ich denke mir eine neue Geschichte aus.,Придумывать,Я придумываю новую историю.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
anwenden,Man sollte diese Salbe zweimal täglich anwenden.,Применять,Эту мазь следует применять дважды в день.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
annehmen,"Wir nehmen an, dass das Projekt erfolgreich sein wird.","Принимать, предполагать","Мы предполагаем, что проект будет успешным.",studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
einfallen,Mir ist nichts mehr dazu eingefallen.,Приходить на ум,Мне больше ничего не пришло в голову по этому поводу.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
erschrecken,"Ich erschrecke, wenn jemand hinter mir steht.","Пугаться, испугаться","Я пугаюсь, когда кто-то стоит сзади.",studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
beschließen,Die Regierung hat ein neues Gesetz beschlossen.,"Принимать решение, постановлять",Правительство приняло новый закон.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
entscheiden,Er musste sich zwischen zwei Jobs entscheiden.,"Решать, принимать решение",Ему пришлось выбирать между двумя работами.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
die Entscheidung,Das war eine falsche Entscheidung.,Решение,Это было неправильное решение.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
bindenden,Eine mündliche Zusage ist nicht bindend.,"Обязательный, обязывающий",Устное обещание не является обязательным.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
das Ereignis,Die Hochzeit war ein sehr schönes Ereignis.,Событие,Свадьба была очень красивым событием.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
die Vereinbarung,Wir haben eine mündliche Vereinbarung getroffen.,"Соглашение, договоренность",Мы достигли устной договоренности.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
empfangen,Sie hat die Gäste herzlich empfangen.,"Принимать, встречать",Она радушно встретила гостей.,studying,1,0,2025-09-09T07:11:10.333Z,2025-09-09T07:13:49.765Z,root,Root User
befehlen,"Der General befahl den Soldaten, vorzurücken.",Приказывать,Генерал приказал солдатам наступать.,studying,1,0,2025-09-09T07:11:10.333Z,2025-09-09T07:14:01.262Z,root,Root User
geschehen,Es ist ein Unglück geschehen.,"Происходить, случаться",Произошло несчастье.,studying,1,0,2025-09-09T07:11:10.333Z,2025-09-09T15:37:25.945Z,root,Root User
aufgeben,Wir haben unsere Bestellung im Restaurant aufgegeben.,"Отказываться, сдаваться, заказывать",Мы сделали заказ в ресторане.,studying,0,1,2025-09-09T07:11:10.333Z,2025-09-09T15:39:02.155Z,root,Root User
schaffen,Er schaffte die Prüfung ohne große Mühe.,"Создавать, справляться",Он сдал экзамен без особых усилий.,studying,1,0,2025-09-09T07:11:10.333Z,2025-09-09T15:39:21.479Z,root,Root User
verzeihen,"Bitte verzeih mir, ich wollte das nicht.",Прощать,"Пожалуйста, прости меня, я не хотел этого.",studying,1,0,2025-09-09T07:11:10.333Z,2025-09-09T15:39:26.196Z,root,Root User
betragen,Die Kosten betragen 100 Euro.,Составлять,Стоимость составляет 100 евро.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
behalten,Du kannst das Buch behalten.,"Сохранять, оставлять у себя",Ты можешь оставить книгу себе.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
ertrinken,Die kleine Katze wäre fast im Bach ertrunken.,Тонуть,Маленький котёнок чуть не утонул в ручье.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
ziehen,Er zog die Tür hinter sich zu.,Тянуть,Он закрыл дверь за собой.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
erfahre,"Er erfuhr, dass sein Freund verreist ist.","Узнавать, получать сведения","Он узнал, что его друг уехал.",studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
empfinden,"Ich empfinde große Freude, wenn ich Musik höre.","Ощущать, чувствовать","Я испытываю большую радость, когда слушаю музыку.",studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
nachgeben,Er konnte dem Druck nicht länger nachgeben.,"уступать, поддаваться",Он больше не мог поддаваться давлению.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
mitschreiben,Bitte schreiben Sie alles Wichtige mit.,записывать (следом),"Пожалуйста, запишите всё важное.",studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
heranbilden,Er will sich als Ingenieur heranbilden.,"формировать, обучать",Он хочет обучиться на инженера.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
messen,Wir müssen die Länge des Raumes messen.,измерять,Мы должны измерить длину комнаты.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
