translation_id,source_word_id,german,english,russian
26,26,"ich","I",""
27,27,"du","you (informal)",""
28,28,"er","he",""
29,29,"sie","they",""
30,30,"es","it",""
31,31,"wir","we",""
32,32,"ihr","you (informal plural)",""
33,33,"Sie","you (formal)",""
41,41,"Bis bald","See you soon",""
42,42,"ja","yes",""
43,43,"nein","no",""
44,44,"bitte","please / you're welcome",""
45,45,"danke","thank you",""
47,47,"wie","how",""
48,48,"was","what",""
49,49,"wo","where",""
50,50,"wer","who",""
51,51,"wann","when",""
52,52,"warum","why",""
53,53,"welche(r/s)","which",""
54,54,"null","zero",""
55,55,"eins","one",""
56,56,"zwei","two",""
57,57,"drei","three",""
58,58,"vier","four",""
59,59,"fünf","five",""
60,60,"sechs","six",""
61,61,"sieben","seven",""
62,62,"acht","eight",""
63,63,"neun","nine",""
64,64,"zehn","ten",""
65,65,"elf","eleven",""
66,66,"zwölf","twelve",""
67,67,"dreizehn","thirteen",""
68,68,"vierzehn","fourteen",""
69,69,"fünfzehn","fifteen",""
70,70,"sechzehn","sixteen",""
71,71,"siebzehn","seventeen",""
72,72,"achtzehn","eighteen",""
73,73,"neunzehn","nineteen",""
74,74,"zwanzig","twenty",""
75,75,"die Familie","family",""
76,76,"die Mutter","mother",""
77,77,"der Vater","father",""
78,78,"die Eltern","parents",""
79,79,"der Bruder","brother",""
80,80,"die Schwester","sister",""
81,81,"die Geschwister","siblings",""
82,82,"die Oma / Großmutter","grandmother",""
83,83,"der Opa / Großvater","grandfather",""
84,84,"die Großeltern","grandparents",""
85,85,"das Kind","child",""
86,86,"die Kinder","children",""
87,87,"das Baby","baby",""
88,88,"der Sohn","son",""
89,89,"die Tochter","daughter",""
90,90,"der Mann","man",""
91,91,"die Frau","woman",""
92,92,"der Freund","friend (male) / boyfriend",""
93,93,"die Freundin","friend (female) / girlfriend",""
94,94,"die Leute","people",""
95,95,"die Person","person",""
96,96,"der Mensch","human / person",""
97,97,"der Junge","boy",""
98,98,"das Mädchen","girl",""
99,99,"der Lehrer","teacher (male)",""
100,100,"die Lehrerin","teacher (female)",""
101,101,"der Arzt","doctor",""
102,102,"die Ärztin","doctor (f)",""
103,103,"der Student","student (male)",""
104,104,"die Studentin","student (female)",""
